Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Turkiye,TUR,2019,Firms with female top manager (% of firms),IC.FRM.FEMM.ZS,3.9
Turkiye,TUR,2013,Firms with female top manager (% of firms),IC.FRM.FEMM.ZS,5.5
Turkiye,TUR,2008,Firms with female top manager (% of firms),IC.FRM.FEMM.ZS,12.4
Turkiye,TUR,2019,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,11.3
Turkiye,TUR,2013,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,25.1
Turkiye,TUR,2008,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,40.7
Turkiye,TUR,2005,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,11.4
Turkiye,TUR,2004,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,9
Turkiye,TUR,2019,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,99.8473129272461
Turkiye,TUR,2017,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,99.5864334106445
Turkiye,TUR,2016,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,99.3715515136719
Turkiye,TUR,2015,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,99.1670837402344
Turkiye,TUR,2014,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,98.9509201049805
Turkiye,TUR,2013,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,98.742057800293
Turkiye,TUR,2012,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,98.4126510620117
Turkiye,TUR,2011,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,97.9363021850586
Turkiye,TUR,2010,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,97.1973266601562
Turkiye,TUR,2009,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,96.5701904296875
Turkiye,TUR,2007,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,94.2891387939453
Turkiye,TUR,2006,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,94.1195373535156
Turkiye,TUR,2005,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,93.9601593017578
Turkiye,TUR,2004,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,93.2950210571289
Turkiye,TUR,1990,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,88.3857879638672
Turkiye,TUR,1985,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,85.9609680175781
Turkiye,TUR,1980,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,75.2379837036133
Turkiye,TUR,1975,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,68.2533493041992
Turkiye,TUR,2019,"Literacy rate, youth (ages 15-24), gender parity index (GPI)",SE.ADT.1524.LT.FM.ZS,0.998830020427704
Turkiye,TUR,2017,"Literacy rate, youth (ages 15-24), gender parity index (GPI)",SE.ADT.1524.LT.FM.ZS,0.996779978275299
Turkiye,TUR,2016,"Literacy rate, youth (ages 15-24), gender parity index (GPI)",SE.ADT.1524.LT.FM.ZS,0.995109975337982
Turkiye,TUR,2015,"Literacy rate, youth (ages 15-24), gender parity index (GPI)",SE.ADT.1524.LT.FM.ZS,0.993600010871887
Turkiye,TUR,2014,"Literacy rate, youth (ages 15-24), gender parity index (GPI)",SE.ADT.1524.LT.FM.ZS,0.992020010948181
Turkiye,TUR,2013,"Literacy rate, youth (ages 15-24), gender parity index (GPI)",SE.ADT.1524.LT.FM.ZS,0.990499973297119
